mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.6745986461639404,0.006541694899550292,0.02906322479248047,0.0033773780856827516,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.6044776119402985,0.558766859344894,0.5244618395303327,0.5315985130111525,0.5134099616858238,0.5465429571025002,0.03260231760143205,53
0.32012529373168946,0.013468394312966309,0.018445253372192383,0.005773985947918984,,1,10,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.6127819548872181,0.5764023210831721,0.5275590551181102,0.5245283018867924,0.538899430740038,0.5560342127430662,0.03385919033513443,20
0.6269515514373779,0.01380063676740946,0.02660064697265625,0.0028454285262640767,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.6022727272727273,0.5719844357976653,0.5490196078431373,0.5243445692883895,0.5338491295938105,0.556294093959146,0.028063101213853126,19
0.3189432621002197,0.007476566902946848,0.013905525207519531,0.001279617350731569,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.6122448979591837,0.5769230769230769,0.546875,0.5233644859813084,0.5153846153846153,0.5549584152496368,0.03575972893668764,28
0.6536816596984864,0.006769429444712411,0.026826953887939452,0.0017297248202785248,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.6179775280898876,0.5725338491295938,0.5362035225048923,0.5261194029850746,0.5240847784200385,0.5553838162258973,0.03582182494132968,26
0.30916743278503417,0.011155399075203892,0.012762975692749024,0.0010636779286886814,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6294227188081937,0.583969465648855,0.5343811394891945,0.5447897623400365,0.5240847784200385,0.5633295729412636,0.03877163750743474,2
0.6256772518157959,0.01973253202974071,0.025637292861938478,0.0023107452063801455,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.6139359698681732,0.580896686159844,0.5387596899224806,0.5451197053406999,0.5230769230769231,0.5603577948736241,0.032805511131606443,8
0.29177098274230956,0.005601868142776392,0.014732885360717773,0.001779054747885343,,2,10,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.6136363636363636,0.5609284332688588,0.5433070866141733,0.5343228200371057,0.5419847328244275,0.5588358872761858,0.028752274622572238,13
0.591212272644043,0.011039253742739364,0.023639917373657227,0.0016619092062662025,,2,10,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.6177024482109228,0.5641025641025641,0.5546875,0.5353159851301115,0.5384615384615384,0.5620540071810274,0.02975478921465242,4
0.295992374420166,0.017817123040917378,0.013435745239257812,0.0014313422778700596,,4,2,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.616822429906542,0.56640625,0.5277777777777778,0.5280898876404494,0.5310077519379846,0.5540208194525507,0.03460679962920078,31
0.5897103786468506,0.01602764344916468,0.023029804229736328,0.0006073073001499656,,4,2,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.6194029850746269,0.5579567779960707,0.5362903225806451,0.5132075471698113,0.5299806576402321,0.5513676580922773,0.036913808036513396,43
0.2928703784942627,0.009719363816705354,0.012771892547607421,0.000971311069182073,,4,5,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.616822429906542,0.56640625,0.5277777777777778,0.5280898876404494,0.5310077519379846,0.5540208194525507,0.03460679962920078,31
0.5785525798797607,0.008187934953154504,0.024506187438964842,0.0013028675224504927,,4,5,200,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 200}",0.6194029850746269,0.5579567779960707,0.5362903225806451,0.5132075471698113,0.5299806576402321,0.5513676580922773,0.036913808036513396,43
0.28628811836242674,0.012281839182547941,0.013945960998535156,0.0016492882794483345,,4,10,100,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.6240601503759399,0.5618860510805501,0.5341365461847389,0.5209125475285171,0.5222437137330754,0.5526478017805643,0.03862452665913626,39
